
> sports@0.1.0 start
> next start --hostname 127.0.0.1 --port 3000
[request] bd1499bf30cb46c3 GET /en status=200 geo=INTL session=no
[request] 542ef0e8d31348d6 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 46ec6bb0e1d849d5 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 083c5ebf695c4e7c GET /en status=200 geo=INTL session=no
[request] e04bbb7b42ef4f0a GET /en status=200 geo=INTL session=no
[request] da1927dc50e64a90 GET /en status=200 geo=INTL session=no
[request] cc48e94bb6df4bdd GET /en status=200 geo=INTL session=no
[request] 5c5559b76d9441ac GET /en status=200 geo=INTL session=no
[request] d81f3c6c009f4652 GET /en status=200 geo=INTL session=no
[request] 2d1e26c5f7b74d7c GET /en status=200 geo=INTL session=no
[request] f1ca371137de4cb8 GET /en/leagues status=200 geo=INTL session=no
[request] 1fb34732da494863 GET /en status=200 geo=INTL session=no
[request] 9257a19e8eea45b4 GET /en status=200 geo=INTL session=no
[request] eaaaff76b87c4eb2 GET /en status=200 geo=INTL session=no
[request] 340a9bba9afd4bd5 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 61e882d969cd43f1 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 15dc3643af994e4b GET /en status=200 geo=INTL session=no
[request] 7f1251e823424d56 GET /en status=200 geo=INTL session=no
[request] 51320b509c1f46bf GET /en status=200 geo=INTL session=no
[request] 9ba699590c72413b GET /en status=200 geo=INTL session=no
[request] ce9066004aa94060 GET /en status=200 geo=INTL session=no
[request] 4f12e31c1986497d GET /en status=200 geo=INTL session=no
[request] 38a260d51d314477 GET /en status=200 geo=INTL session=no
[request] 2cac3d197be94335 GET /en/leagues status=200 geo=INTL session=no
[request] f931d8b0ffb84128 GET /en status=200 geo=INTL session=no
[request] b47ca98c27864b4b GET /en status=200 geo=INTL session=no
[request] 3d1fa2f6507043eb GET /en status=200 geo=INTL session=no
[request] 7631b6ce86a14d02 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 1e0f8836f84c4a54 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] f0aaa21535874ca2 GET /en status=200 geo=INTL session=no
[request] ea67c6dfd0974064 GET /en status=200 geo=INTL session=no
[request] 66c72311a52644e3 GET /en status=200 geo=INTL session=no
[request] e0f95437130f4794 GET /en status=200 geo=INTL session=no
[request] d6944c3b775a4824 GET /en status=200 geo=INTL session=no
[request] 83bdb4605ada43ea GET /en status=200 geo=INTL session=no
[request] 1139433772664b43 GET /en status=200 geo=INTL session=no
[request] 026b81b8597d430b GET /en/leagues status=200 geo=INTL session=no
[request] 9ec5e8f8193348f9 GET /en status=200 geo=INTL session=no
[request] d325f4984a7e40c6 GET /en status=200 geo=INTL session=no
[request] bcae2e607ff4412d GET /en status=200 geo=INTL session=no
[request] 285a5a5e59a343d1 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 52f05915cba545b5 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 4932fa027fa74c5b GET /en status=200 geo=INTL session=no
[request] f0040ef3fb964914 GET /en status=200 geo=INTL session=no
[request] 643d91f7e4964b50 GET /en status=200 geo=INTL session=no
[request] 39cb05b1d1c24165 GET /en status=200 geo=INTL session=no
[request] 2b82e68fb9454a80 GET /en status=200 geo=INTL session=no
[request] a970d4da48ca44d3 GET /en status=200 geo=INTL session=no
[request] 8825eee8ec774e38 GET /en status=200 geo=INTL session=no
[request] c11d102bb2e94980 GET /en/leagues status=200 geo=INTL session=no
[request] 6127cfc9a17d4361 GET /en status=200 geo=INTL session=no
[request] 6be6a4954a314c32 GET /en status=200 geo=INTL session=no
[request] e20ee185ae3d4d40 GET /en status=200 geo=INTL session=no
[request] a1e1a57bdf0240a6 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 55f8a4a7206a4625 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 51a84b55295a4e63 GET /en status=200 geo=INTL session=no
[request] 4a6b5037b0b04873 GET /en status=200 geo=INTL session=no
[request] 5db74d9e45414ef6 GET /en status=200 geo=INTL session=no
[request] 6ee69f632964417e GET /en status=200 geo=INTL session=no
[request] 2f8d69aad6db4ee6 GET /en status=200 geo=INTL session=no
[request] 3af97a8f5bd44443 GET /en status=200 geo=INTL session=no
[request] fefbe0075b144ded GET /en status=200 geo=INTL session=no
[request] 3082db7d0f43498b GET /en status=200 geo=INTL session=no
[request] a434547ef71c434d GET /en/leagues status=200 geo=INTL session=no
[request] 5e77b3ded11840b0 GET /en status=200 geo=INTL session=no
[request] 60546fb790a64b63 GET /en status=200 geo=INTL session=no
[request] 6b89f442c87f4f9f GET /en status=200 geo=INTL session=no
[request] 258e2a4dbd3d43d2 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] becc26316dd94398 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 4689eba563c64387 GET /en status=200 geo=INTL session=no
[request] 043e2cc4708c46bd GET /en status=200 geo=INTL session=no
[request] 62b192a92ea9402d GET /en status=200 geo=INTL session=no
[request] 02a95cb7f60d4062 GET /en status=200 geo=INTL session=no
[request] bf70269b7a9240db GET /en status=200 geo=INTL session=no
[request] f9a676ff154c4148 GET /en status=200 geo=INTL session=no
[request] aceb3f0833fb47ad GET /en/leagues status=200 geo=INTL session=no
[request] 82354faaec734f98 GET /en status=200 geo=INTL session=no
[request] 879a9f2154c4482d GET /en status=200 geo=INTL session=no
[request] 1f44bfff3f8a41e8 GET /en status=200 geo=INTL session=no
[request] ac1f898321854183 GET /en/leagues/UCL status=200 geo=INTL session=no
[request] 33e7733722df4426 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] a7e025c79e5848ab GET /en status=200 geo=INTL session=no
[request] 76c36b76b45d420d GET /en status=200 geo=INTL session=no
[request] 0d15c773edb44f7d GET /en status=200 geo=INTL session=no
[request] 596974085f334674 GET /en status=200 geo=INTL session=no
[request] cda12584c03f41dd GET /en status=200 geo=INTL session=no
[request] c3310339877c473f GET /en status=200 geo=INTL session=no
[request] 7695b001bf194847 GET /en status=200 geo=INTL session=no
[request] 29499695275d4a91 GET /en/leagues status=200 geo=INTL session=no
[request] 9d03b2415e2049b4 GET /en status=200 geo=INTL session=no
[request] 3fd83981452f44f8 GET /en status=200 geo=INTL session=no
[request] 6516dbc7965140b3 GET /en status=200 geo=INTL session=no
[request] 41d92a05cddd49ce GET /en/leagues/UCL status=200 geo=INTL session=no
[request] de4f1aab13864969 GET /en/leagues/EPL status=200 geo=INTL session=no
[request] 10b9b5336ba44c6e GET /en status=200 geo=INTL session=no
[request] 5d127dfd2b944e17 GET /en status=200 geo=INTL session=no
[request] 0488b382e25c4931 GET /en status=200 geo=INTL session=no
[request] 4a1c7c8029224487 GET /en status=200 geo=INTL session=no
[request] d86f86e8de664f14 GET /en status=200 geo=INTL session=no
[request] 9071c1547d9448a7 GET /en status=200 geo=INTL session=no
